Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Security Rules,Size Metric Rules,isDefective
26,1,34,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,1,0,1,2,0,1,0,9,9,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
30,1,47,2,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,16,18,2,0,2,0,2,0,2,0,2,3,0,2,0,16,18,2,0,2,0,2,0,2,0,2,3,0,2,0,0,0,7,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0
27,1,48,2,0,0,0,0,0,0,0,0,1,1,1,3,0,1,0,0,1,0,0.15,3,0,0,2,0.15,3,0,0,0,0,0,17,22,0,0,0,0,1,0,1,0,1,6,0,1,0,17,22,0,0,0,0,1,0,1,0,1,6,0,1,0,0,0,5,2,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
24,1,33,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0.1,1,0,0,2,0.1,1,0,0,0,0,0,9,10,0,0,0,0,1,0,1,0,1,1,0,1,0,9,10,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
31,1,46,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,16,16,0,0,0,0,1,0,1,0,1,3,0,1,0,16,16,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,5,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
30,1,70,2,0.268041,1,3,1,0.365854,0.4,15,14,1,2,2,4,4,0,0,7,8,0.5,0.097561,4,3,1,1,0.097561,4,0,0,0,0,0,37,41,0,0,0,0,1,0,1,0,1,16,0,1,0,37,41,0,0,0,0,1,0,1,0,1,16,0,1,0,0,0,16,5,0,3,11,0,0,0,0,1,5,0,1,0,0,0,0,0,0
35,1,87,2,0,0,0,0,0,0,0,0,2,1,1,6,7,1,1,3,8,0.166667,0.115385,6,3,1,5,0.115385,6,0,0,0,0,0,46,53,2,0,2,0,5,0,5,0,5,16,0,5,0,46,53,2,0,2,0,5,0,5,0,5,16,0,5,0,0,0,14,5,0,4,0,0,1,0,0,0,13,0,1,0,0,0,0,0,0
25,1,40,2,0,0,0,0,0,0,0,0,1,0,0,2,3,2,0,2,4,0,0,0,0,0,3,0,0,3,3,0,0,1,14,16,3,2,1,0,2,1,2,0,11,2,1,11,0,14,16,3,2,1,0,2,1,2,0,11,2,1,11,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,1
28,1,51,2,0,0,0,0,0,0,0,0,1,0,0,3,6,2,0,2,5,0,0,0,0,0,4,0,0,0,0,0,0,0,20,24,1,0,1,0,3,1,3,0,3,3,1,3,0,20,24,1,0,1,0,3,1,3,0,3,3,1,3,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0
30,1,56,2,0,0,0,0,0,0,0,0,1,1,1,4,6,2,0,2,5,0,0,0,0,0,4,0,0,0,0,0,0,0,24,27,1,0,1,0,3,1,3,0,3,5,1,3,0,24,27,1,0,1,0,3,1,3,0,3,5,1,3,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,1
